LEXER OUTPUT - APB slave2
============================================================
Total tokens: 625

TYPE            | VALUE                          | LINE
----------------+--------------------------------+----
UNKNOWN         | `                              | 14
IDENTIFIER      | timescale                      | 14
NUMBER          | 1                              | 14
IDENTIFIER      | ns                             | 14
OPERATOR        | /                              | 14
NUMBER          | 1                              | 14
IDENTIFIER      | ns                             | 14
KEYWORD         | module                         | 18
IDENTIFIER      | slave2                         | 18
PUNCTUATION     | (                              | 18
KEYWORD         | input                          | 19
IDENTIFIER      | PCLK                           | 19
PUNCTUATION     | ,                              | 19
IDENTIFIER      | PRESETn                        | 19
PUNCTUATION     | ,                              | 19
KEYWORD         | input                          | 20
IDENTIFIER      | PSEL                           | 20
PUNCTUATION     | ,                              | 20
IDENTIFIER      | PENABLE                        | 20
PUNCTUATION     | ,                              | 20
IDENTIFIER      | PWRITE                         | 20
PUNCTUATION     | ,                              | 20
KEYWORD         | input                          | 21
PUNCTUATION     | [                              | 21
NUMBER          | 7                              | 21
OPERATOR        | :                              | 21
NUMBER          | 0                              | 21
PUNCTUATION     | ]                              | 21
IDENTIFIER      | PADDR                          | 21
PUNCTUATION     | ,                              | 21
IDENTIFIER      | PWDATA                         | 21
PUNCTUATION     | ,                              | 21
KEYWORD         | output                         | 22
PUNCTUATION     | [                              | 22
NUMBER          | 7                              | 22
OPERATOR        | :                              | 22
NUMBER          | 0                              | 22
PUNCTUATION     | ]                              | 22
IDENTIFIER      | PRDATA2                        | 22
PUNCTUATION     | ,                              | 22
KEYWORD         | output                         | 23
KEYWORD         | reg                            | 23
IDENTIFIER      | PREADY                         | 23
PUNCTUATION     | )                              | 23
PUNCTUATION     | ;                              | 23
KEYWORD         | reg                            | 25
PUNCTUATION     | [                              | 25
NUMBER          | 7                              | 25
OPERATOR        | :                              | 25
NUMBER          | 0                              | 25
PUNCTUATION     | ]                              | 25
IDENTIFIER      | reg_addr                       | 25
PUNCTUATION     | ;                              | 25
KEYWORD         | reg                            | 27
PUNCTUATION     | [                              | 27
NUMBER          | 7                              | 27
OPERATOR        | :                              | 27
NUMBER          | 0                              | 27
PUNCTUATION     | ]                              | 27
IDENTIFIER      | mem2                           | 27
PUNCTUATION     | [                              | 27
NUMBER          | 0                              | 27
OPERATOR        | :                              | 27
NUMBER          | 63                             | 27
PUNCTUATION     | ]                              | 27
PUNCTUATION     | ;                              | 27
KEYWORD         | assign                         | 29
IDENTIFIER      | PRDATA2                        | 29
OPERATOR        | =                              | 29
IDENTIFIER      | mem2                           | 29
PUNCTUATION     | [                              | 29
IDENTIFIER      | reg_addr                       | 29
PUNCTUATION     | ]                              | 29
PUNCTUATION     | ;                              | 29
KEYWORD         | always                         | 33
UNKNOWN         | @                              | 33
PUNCTUATION     | (                              | 33
OPERATOR        | *                              | 33
PUNCTUATION     | )                              | 33
KEYWORD         | begin                          | 34
KEYWORD         | if                             | 35
PUNCTUATION     | (                              | 35
OPERATOR        | !                              | 35
IDENTIFIER      | PRESETn                        | 35
PUNCTUATION     | )                              | 35
IDENTIFIER      | PREADY                         | 36
OPERATOR        | =                              | 36
NUMBER          | 0                              | 36
PUNCTUATION     | ;                              | 36
KEYWORD         | else                           | 37
KEYWORD         | if                             | 38
PUNCTUATION     | (                              | 38
IDENTIFIER      | PSEL                           | 38
OPERATOR        | &&                             | 38
OPERATOR        | !                              | 38
IDENTIFIER      | PENABLE                        | 38
OPERATOR        | &&                             | 38
OPERATOR        | !                              | 38
IDENTIFIER      | PWRITE                         | 38
PUNCTUATION     | )                              | 38

... and 525 more tokens
